Period,Length,,,
EarlyAll,11.7,,,
EarlyAll,12,,,
EarlyAll,12.2,,,
EarlyAll,13.1,,,
EarlyAll,13.5,,,
EarlyAll,14.3,,,
EarlyAll,14.5,,,
EarlyAll,14.7,,,
EarlyAll,15.3,,,
EarlyAll,15.7,,,
EarlyAll,15.8,,,
EarlyAll,16.3,,,
EarlyAll,16.5,,,
EarlyAll,17.1,,,
EarlyAll,18.1,,,
EarlyAll,18.1,,,
EarlyAll,18.5,,,
EarlyAll,18.5,,,
EarlyAll,18.6,,,
EarlyAll,18.8,,,
EarlyAll,18.9,,,
EarlyAll,19.3,,,
EarlyAll,19.4,,,
EarlyAll,19.5,,,
EarlyAll,19.7,,,
EarlyAll,19.8,,,
EarlyAll,19.8,,,
EarlyAll,19.9,,,
EarlyAll,20.3,,,
EarlyAll,20.5,,,
EarlyAll,20.5,,,
EarlyAll,20.8,,,
EarlyAll,21,,,
EarlyAll,21.1,,,
EarlyAll,21.2,,,
EarlyAll,21.3,,,
EarlyAll,21.7,,,
EarlyAll,22.1,,,
EarlyAll,22.1,,,
EarlyAll,22.1,,,
EarlyAll,22.3,,,
EarlyAll,22.4,,,
EarlyAll,22.4,,,
EarlyAll,22.5,,,
EarlyAll,22.6,,,
EarlyAll,22.7,,,
EarlyAll,22.9,,,
EarlyAll,23,,,
EarlyAll,23.1,,,
EarlyAll,23.2,,,
EarlyAll,23.6,,,
EarlyAll,24,,,
EarlyAll,24.2,,,
EarlyAll,24.2,,,
EarlyAll,24.3,,,
EarlyAll,24.5,,,
EarlyAll,24.5,,,
EarlyAll,24.6,,,
EarlyAll,24.8,,,
EarlyAll,25.2,,,
EarlyAll,25.5,,,
EarlyAll,25.6,,,
EarlyAll,25.8,,,
EarlyAll,26,,,
EarlyAll,26.3,,,
EarlyAll,26.4,,,
EarlyAll,26.5,,,
EarlyAll,26.7,,,
EarlyAll,27.1,,,
EarlyAll,27.1,,,
EarlyAll,27.2,,,
EarlyAll,27.4,,,
EarlyAll,27.5,,,
EarlyAll,27.5,,,
EarlyAll,27.6,,,
EarlyAll,27.7,,,
EarlyAll,27.7,,,
EarlyAll,27.8,,,
EarlyAll,28.1,,,
EarlyAll,28.4,,,
EarlyAll,28.4,,,
EarlyAll,28.5,,,
EarlyAll,28.6,,,
EarlyAll,28.8,,,
EarlyAll,29,,,
EarlyAll,29.1,,,
EarlyAll,29.1,,,
EarlyAll,29.5,,,
EarlyAll,29.7,,,
EarlyAll,30,,,
EarlyAll,30.1,,,
EarlyAll,30.1,,,
EarlyAll,30.1,,,
EarlyAll,30.3,,,
EarlyAll,30.4,,,
EarlyAll,30.5,,,
EarlyAll,30.6,,,
EarlyAll,31.5,,,
EarlyAll,31.7,,,
EarlyAll,31.7,,,
EarlyAll,31.8,,,
