EarlyAll,LateAll,Early,Late
11.7,9.1,11.7,9.1
12,10.1,12,10.1
12.2,11.4,12.2,11.4
13.1,12.1,13.1,12.1
13.5,12.5,13.5,12.5
14.3,12.6,14.3,12.6
14.5,13.6,14.5,13.6
14.7,13.8,14.7,13.8
15.3,14.7,15.3,14.7
15.7,14.8,15.7,14.8
15.8,15.2,15.8,15.2
16.3,15.4,16.3,15.4
16.5,16.1,16.5,16.1
17.1,18.1,17.1,18.1
18.1,19.1,18.1,19.1
18.1,19.8,18.1,19.8
18.5,19.9,18.5,19.9
18.5,20.7,18.5,20.7
18.6,21.3,18.6,21.3
18.8,21.8,18.8,21.8
18.9,24.4,18.9,24.4
19.3,24.4,19.3,24.4
19.4,25.1,19.4,25.1
19.5,30.3,19.5,30.3
19.7,48.8,19.7,48.8
19.8,,19.8,
19.8,,19.8,
19.9,,19.9,
20.3,,20.3,
20.5,,20.5,
20.5,,20.5,
20.8,,20.8,
21,,21,
21.1,,21.1,
21.2,,21.2,
21.3,,21.3,
21.7,,21.7,
22.1,,22.1,
22.1,,22.1,
22.1,,22.1,
22.3,,22.3,
22.4,,22.4,
22.4,,22.4,
22.5,,22.5,
22.6,,22.6,
22.7,,22.7,
22.9,,22.9,
23,,23,
23.1,,23.1,
23.2,,23.2,
23.6,,23.6,
24,,24,
24.2,,24.2,
24.2,,24.2,
24.3,,24.3,
24.5,,24.5,
24.5,,24.5,
24.6,,24.6,
24.8,,24.8,
25.2,,25.2,
25.5,,25.5,
25.6,,25.6,
25.8,,25.8,
26,,26,
26.3,,26.3,
26.4,,26.4,
26.5,,26.5,
26.7,,26.7,
27.1,,27.1,
27.1,,27.1,
27.2,,27.2,
27.4,,27.4,
27.5,,27.5,
27.5,,27.5,
27.6,,27.6,
27.7,,27.7,
27.7,,27.7,
27.8,,27.8,
28.1,,28.1,
28.4,,28.4,
28.4,,28.4,
28.5,,28.5,
28.6,,28.6,
28.8,,28.8,
29,,29,
29.1,,29.1,
29.1,,29.1,
29.5,,29.5,
29.7,,29.7,
30,,30,
30.1,,30.1,
30.1,,30.1,
30.1,,30.1,
30.3,,30.3,
30.4,,30.4,
30.5,,30.5,
30.6,,30.6,
31.5,,31.5,
31.7,,31.7,
31.7,,31.7,
31.8,,31.8,
32.5,,32.5,
32.7,,32.7,
32.8,,32.8,
32.9,,32.9,
32.9,,32.9,
33,,33,
33.2,,33.2,
33.4,,33.4,
33.5,,33.5,
33.7,,33.7,
33.8,,33.8,
34.2,,34.2,
34.2,,34.2,
34.3,,34.3,
34.5,,34.5,
34.5,,34.5,
34.6,,34.6,
34.7,,34.7,
34.7,,34.7,
34.8,,34.8,
34.9,,34.9,
35.1,,35.1,
35.3,,35.3,
35.3,,35.3,
35.5,,35.5,
35.5,,35.5,
35.7,,35.7,
35.9,,35.9,
36,,36,
36.1,,36.1,
36.5,,36.5,
36.6,,36.6,
37.8,,37.8,
37.8,,37.8,
38,,38,
38,,38,
38.1,,38.1,
38.4,,38.4,
38.4,,38.4,
38.5,,38.5,
38.5,,38.5,
38.5,,38.5,
38.6,,38.6,
38.8,,38.8,
39.6,,39.6,
39.8,,39.8,
40,,40,
40.1,,40.1,
40.2,,40.2,
40.6,,40.6,
41.1,,41.1,
41.4,,41.4,
41.9,,41.9,
42,,42,
43.1,,43.1,
43.2,,43.2,
43.3,,43.3,
43.6,,43.6,
43.9,,43.9,
44.1,,44.1,
44.4,,44.4,
44.5,,44.5,
45.3,,45.3,
47.8,,47.8,
48.1,,48.1,
50.8,,50.8,
50.9,,50.9,
53,,53,
54.7,,54.7,
55.1,,55.1,
55.6,,55.6,
55.8,,55.8,
56.1,,56.1,
56.4,,56.4,
57.1,,57.1,
58,,58,
89.1,,,
92.3,,,
96.3,,,
106.2,,,
134.7,,,
