SAMPLE,LOCATION,TYPE,LENGTH (cm),WIDTH (cm),THICKNESS (cm),WEIGHT (g),CORTEX,RETOUCH,COLOUR,Source (Sr),Source ((Fe),Early,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
HGM 1,HINGAIMOTU,Flake,38.5,41.4,9.1,13,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
HGM 2,HINGAIMOTU,Flake,36.1,27.8,10.1,9,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
HGM 3,HINGAIMOTU,Flake,34.5,53.7,6.4,11,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
HGM 4,HINGAIMOTU,Flake,12.2,14.4,2.9,1,N,N,Grey,Hahei,Hahei,Y,,,,,,,,,,,,
HGM 5,HINGAIMOTU,Flake,23.2,28.6,4.3,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
HGM 6,HINGAIMOTU,Flake,20.5,16.5,1.9,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
HGM 7,HINGAIMOTU,Flake,33.8,25.5,8.5,5,N,N,Grey,Hahei,Hahei,Y,,,,,,,,,,,,
HGM 8,HINGAIMOTU,Flake,29,22.7,6.9,4,N,N,Green ,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
HGM 9,HINGAIMOTU,Flake,57.1,34.4,10.8,14,N,N,Grey,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
HGM 10,HINGAIMOTU,Flake,31.7,17.7,10.5,5,N,N,Grey,Hahei,Hahei,Y,,,,,,,,,,,,
HGM 11,HINGAIMOTU,Flake,18.6,23.5,3.1,1,N,N,Grey,Hahei,Hahei,Y,,,,,,,,,,,,
HGM 12,HINGAIMOTU,Flake,27.8,31.2,5.6,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
HGM 13,HINGAIMOTU,Flake,18.1,26.6,5.2,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
HGM 14,HINGAIMOTU,Flake,13.5,20.8,4,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
